Legislation Number,CurrentState,PresidentSigned,WhatIsIt,ConstitutionalVibe,DateIntroduced,DateCommitteConsidered,DateFloorConsidered,DatePassedOneChamber,DatePassedBothChambers,DatePresidentDecide,URL,Congress,Title,Sponsor,Party of Sponsor,Date of Introduction,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Number of Cosponsors,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Number of Related Bills,Related Bill,Related Bill,Related Bill Relationships Identified by,Related Bill Relationships Identified by,Related Bill Latest Action,Related Bill Latest Action,Latest Summary,Amends Bill,Date Offered,Date Submitted,Amendment Text (Latest)
H.R. 434,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/434,119th Congress (2025-2026),"To amend the Homeland Security Act of 2002 to improve U.S. Customs and Border Protection (CBP) identification of staffing needs, and for other purposes.","Higgins, Clay [Rep.-R-LA-3] (Introduced 01/15/2025)",Republican,1/15/2025,House - Homeland Security,Referred to the House Committee on Homeland Security.,1/15/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 433,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/433,119th Congress (2025-2026),"To prohibit funds made available to the Department of Education by previous Appropriations Acts from being used for any activity relating to implementing a reorganization of the Department, and for other purposes.","Hayes, Jahana [Rep.-D-CT-5] (Introduced 01/15/2025)",Democratic,1/15/2025,House - Education and Workforce,Referred to the House Committee on Education and Workforce.,1/15/2025,"Adams, Alma S. [Rep.-D-NC-12]","Titus, Dina [Rep.-D-NV-1]","McIver, LaMonica [Rep.-D-NJ-10]","Salinas, Andrea [Rep.-D-OR-6]","Tokuda, Jill N. [Rep.-D-HI-2]","Quigley, Mike [Rep.-D-IL-5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 432,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/432,119th Congress (2025-2026),To authorize the removal of an action from an administrative law judge of any administrative agency to a district court of the United States.,"Hageman, Harriet M. [Rep.-R-WY-At Large] (Introduced 01/15/2025)",Republican,1/15/2025,House - Judiciary,Referred to the House Committee on the Judiciary.,1/15/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 431,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/431,119th Congress (2025-2026),"To require the United States Postal Service to reimburse fees charged for the late payment of bills that were delayed in the mail, and for other purposes.","Graves, Sam [Rep.-R-MO-6] (Introduced 01/15/2025)",Republican,1/15/2025,House - Oversight and Government Reform,Referred to the House Committee on Oversight and Government Reform.,1/15/2025,"Cleaver, Emanuel [Rep.-D-MO-5]","Alford, Mark [Rep.-R-MO-4]","Bost, Mike [Rep.-R-IL-12]","Collins, Mike [Rep.-R-GA-10]","Stauber, Pete [Rep.-R-MN-8]","Mann, Tracey [Rep.-R-KS-1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 430,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/430,119th Congress (2025-2026),"To amend the Internal Revenue Code of 1986 to repeal the limitation on the deduction for certain taxes, including State and local property and income taxes.","Garbarino, Andrew R. [Rep.-R-NY-2] (Introduced 01/15/2025)",Republican,1/15/2025,House - Ways and Means,Referred to the House Committee on Ways and Means.,1/15/2025,"Gottheimer, Josh [Rep.-D-NJ-5]","Kim, Young [Rep.-R-CA-40]","Menendez, Robert [Rep.-D-NJ-8]","Smith, Christopher H. [Rep.-R-NJ-4]","Schneider, Bradley Scott [Rep.-D-IL-10]","Lawler, Michael [Rep.-R-NY-17]","Suozzi, Thomas R. [Rep.-D-NY-3]","Casten, Sean [Rep.-D-IL-6]","Norton, Eleanor Holmes [Del.-D-DC]","Davis, Danny K. [Rep.-D-IL-7]","Kean, Thomas H. [Rep.-R-NJ-7]","Chu, Judy [Rep.-D-CA-28]","Brownley, Julia [Rep.-D-CA-26]","Nadler, Jerrold [Rep.-D-NY-12]","Sherrill, Mikie [Rep.-D-NJ-11]","Gillen, Laura [Rep.-D-NY-4]","Panetta, Jimmy [Rep.-D-CA-19]","Ryan, Patrick [Rep.-D-NY-18]","Raskin, Jamie [Rep.-D-MD-8]","Gomez, Jimmy [Rep.-D-CA-34]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 429,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/429,119th Congress (2025-2026),"To require the Secretary of the Treasury to mint coins in commemoration of the women who contributed to the Home Front during World War II, and for other purposes.","Garamendi, John [Rep.-D-CA-8] (Introduced 01/15/2025)",Democratic,1/15/2025,House - Financial Services,Referred to the House Committee on Financial Services.,1/15/2025,"DeSaulnier, Mark [Rep.-D-CA-10]","Fitzpatrick, Brian K. [Rep.-R-PA-1]","Huffman, Jared [Rep.-D-CA-2]","Dingell, Debbie [Rep.-D-MI-6]","Mullin, Kevin [Rep.-D-CA-15]","Ciscomani, Juan [Rep.-R-AZ-6]","Davids, Sharice [Rep.-D-KS-3]","DelBene, Suzan K. [Rep.-D-WA-1]","Brownley, Julia [Rep.-D-CA-26]","Radewagen, Aumua Amata Coleman [Del.-R-AS]","Rulli, Michael A. [Rep.-R-OH-6]","Peters, Scott H. [Rep.-D-CA-50]","Amo, Gabe [Rep.-D-RI-1]","Torres, Ritchie [Rep.-D-NY-15]","Wilson, Frederica S. [Rep.-D-FL-24]","Watson Coleman, Bonnie [Rep.-D-NJ-12]","Keating, William R. [Rep.-D-MA-9]","Pocan, Mark [Rep.-D-WI-2]","Schakowsky, Janice D. [Rep.-D-IL-9]","Beyer, Donald S. [Rep.-D-VA-8]","Dean, Madeleine [Rep.-D-PA-4]","Boyle, Brendan F. [Rep.-D-PA-2]","Velázquez, Nydia M. [Rep.-D-NY-7]","Neal, Richard E. [Rep.-D-MA-1]","Norton, Eleanor Holmes [Del.-D-DC]","Grijalva, Raúl M. [Rep.-D-AZ-7]","Sánchez, Linda T. [Rep.-D-CA-38]","McClellan, Jennifer L. [Rep.-D-VA-4]","Tlaib, Rashida [Rep.-D-MI-12]","Titus, Dina [Rep.-D-NV-1]","Williams, Nikema [Rep.-D-GA-5]","Nadler, Jerrold [Rep.-D-NY-12]","Kamlager-Dove, Sydney [Rep.-D-CA-37]","Swalwell, Eric [Rep.-D-CA-14]","Evans, Dwight [Rep.-D-PA-3]","Foster, Bill [Rep.-D-IL-11]","Veasey, Marc A. [Rep.-D-TX-33]","Bacon, Don [Rep.-R-NE-2]","Cherfilus-McCormick, Sheila [Rep.-D-FL-20]","Carson, André [Rep.-D-IN-7]","Quigley, Mike [Rep.-D-IL-5]","Moore, Gwen [Rep.-D-WI-4]","Amodei, Mark E. [Rep.-R-NV-2]","Casten, Sean [Rep.-D-IL-6]","Garcia, Sylvia R. [Rep.-D-TX-29]","Costa, Jim [Rep.-D-CA-21]","Beatty, Joyce [Rep.-D-OH-3]","DeLauro, Rosa L. [Rep.-D-CT-3]","Frost, Maxwell [Rep.-D-FL-10]","Carter, Troy A. [Rep.-D-LA-2]","Budzinski, Nikki [Rep.-D-IL-13]","Barragán, Nanette Diaz [Rep.-D-CA-44]","Trahan, Lori [Rep.-D-MA-3]","Kaptur, Marcy [Rep.-D-OH-9]","Sherrill, Mikie [Rep.-D-NJ-11]","Connolly, Gerald E. [Rep.-D-VA-11]","Sewell, Terri A. [Rep.-D-AL-7]","Panetta, Jimmy [Rep.-D-CA-19]","Scanlon, Mary Gay [Rep.-D-PA-5]","McCollum, Betty [Rep.-D-MN-4]","Meeks, Gregory W. [Rep.-D-NY-5]","Pingree, Chellie [Rep.-D-ME-1]","Khanna, Ro [Rep.-D-CA-17]","Foushee, Valerie P. [Rep.-D-NC-4]","Tonko, Paul [Rep.-D-NY-20]","Cleaver, Emanuel [Rep.-D-MO-5]","Stauber, Pete [Rep.-R-MN-8]","Crawford, Eric A. ""Rick"" [Rep.-R-AR-1]","Lynch, Stephen F. [Rep.-D-MA-8]","Takano, Mark [Rep.-D-CA-39]","Kiley, Kevin [Rep.-R-CA-3]","Cuellar, Henry [Rep.-D-TX-28]","Scholten, Hillary J. [Rep.-D-MI-3]","Torres, Norma J. [Rep.-D-CA-35]","Gomez, Jimmy [Rep.-D-CA-34]","Casar, Greg [Rep.-D-TX-35]","Stansbury, Melanie A. [Rep.-D-NM-1]","Salinas, Andrea [Rep.-D-OR-6]","Kennedy, Timothy M. [Rep.-D-NY-26]","Matsui, Doris O. [Rep.-D-CA-7]","Bishop, Sanford D. [Rep.-D-GA-2]","Van Orden, Derrick [Rep.-R-WI-3]","Ross, Deborah K. [Rep.-D-NC-2]","Deluzio, Christopher R. [Rep.-D-PA-17]","Doggett, Lloyd [Rep.-D-TX-37]","Stevens, Haley M. [Rep.-D-MI-11]","Houlahan, Chrissy [Rep.-D-PA-6]","Hayes, Jahana [Rep.-D-CT-5]","McGovern, James P. [Rep.-D-MA-2]","Bonamici, Suzanne [Rep.-D-OR-1]","Moskowitz, Jared [Rep.-D-FL-23]","Davis, Donald G. [Rep.-D-NC-1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 428,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/428,119th Congress (2025-2026),"To amend title 5, United States Code, to enhance the authority under which Federal agencies may pay cash awards to employees for making cost saving disclosures, and for other purposes.","Fleischmann, Charles J. ""Chuck"" [Rep.-R-TN-3] (Introduced 01/15/2025)",Republican,1/15/2025,House - Oversight and Government Reform,Referred to the House Committee on Oversight and Government Reform.,1/15/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 427,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/427,119th Congress (2025-2026),To amend Public Law 86-272 to expand the prohibition of State taxation relating to certain solicitation of orders.,"Fitzgerald, Scott [Rep.-R-WI-5] (Introduced 01/15/2025)",Republican,1/15/2025,House - Judiciary,Referred to the House Committee on the Judiciary.,1/15/2025,"Grothman, Glenn [Rep.-R-WI-6]","Tiffany, Thomas P. [Rep.-R-WI-7]","Steil, Bryan [Rep.-R-WI-1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 426,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/426,119th Congress (2025-2026),"To make available necessary disaster assistance for families affected by major disasters, and for other purposes.","Espaillat, Adriano [Rep.-D-NY-13] (Introduced 01/15/2025)",Democratic,1/15/2025,"House - Transportation and Infrastructure, Budget","Referred to the Committee on Transportation and Infrastructure, and in addition to the Committee on the Budget, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",1/15/2025,"Kim, Young [Rep.-R-CA-40]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 425,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/425,119th Congress (2025-2026),To repeal the Corporate Transparency Act.,"Davidson, Warren [Rep.-R-OH-8] (Introduced 01/15/2025)",Republican,1/15/2025,House - Financial Services,Referred to the House Committee on Financial Services.,1/15/2025,"Balderson, Troy [Rep.-R-OH-12]","Bergman, Jack [Rep.-R-MI-1]","Biggs, Andy [Rep.-R-AZ-5]","Buchanan, Vern [Rep.-R-FL-16]","Burlison, Eric [Rep.-R-MO-7]","Cammack, Kat [Rep.-R-FL-3]","Ciscomani, Juan [Rep.-R-AZ-6]","Cloud, Michael [Rep.-R-TX-27]","Clyde, Andrew S. [Rep.-R-GA-9]","Crane, Elijah [Rep.-R-AZ-2]","Dunn, Neal P. [Rep.-R-FL-2]","Edwards, Chuck [Rep.-R-NC-11]","Ellzey, Jake [Rep.-R-TX-6]","Estes, Ron [Rep.-R-KS-4]","Ezell, Mike [Rep.-R-MS-4]","Finstad, Brad [Rep.-R-MN-1]","Fischbach, Michelle [Rep.-R-MN-7]","Fleischmann, Charles J. ""Chuck"" [Rep.-R-TN-3]","Foxx, Virginia [Rep.-R-NC-5]","Fulcher, Russ [Rep.-R-ID-1]","Graves, Sam [Rep.-R-MO-6]","Greene, Marjorie Taylor [Rep.-R-GA-14]","Grothman, Glenn [Rep.-R-WI-6]","Guest, Michael [Rep.-R-MS-3]","Hageman, Harriet M. [Rep.-R-WY-At Large]","Hern, Kevin [Rep.-R-OK-1]","Houchin, Erin [Rep.-R-IN-9]","Hudson, Richard [Rep.-R-NC-9]","Johnson, Dusty [Rep.-R-SD-At Large]","LaHood, Darin [Rep.-R-IL-16]","Langworthy, Nicholas A. [Rep.-R-NY-23]","Lee, Laurel M. [Rep.-R-FL-15]","Mace, Nancy [Rep.-R-SC-1]","Moolenaar, John R. [Rep.-R-MI-2]","Moore, Barry [Rep.-R-AL-1]","Norman, Ralph [Rep.-R-SC-5]","Ogles, Andrew [Rep.-R-TN-5]","Perry, Scott [Rep.-R-PA-10]","Pfluger, August [Rep.-R-TX-11]","Rose, John W. [Rep.-R-TN-6]","Rouzer, David [Rep.-R-NC-7]","Roy, Chip [Rep.-R-TX-21]","Rulli, Michael A. [Rep.-R-OH-6]","Schweikert, David [Rep.-R-AZ-1]","Smith, Jason [Rep.-R-MO-8]","Smith, Adrian [Rep.-R-NE-3]","Stauber, Pete [Rep.-R-MN-8]","Tenney, Claudia [Rep.-R-NY-24]","Thompson, Glenn [Rep.-R-PA-15]","Tiffany, Thomas P. [Rep.-R-WI-7]","Van Duyne, Beth [Rep.-R-TX-24]","Weber, Randy K. Sr. [Rep.-R-TX-14]","Zinke, Ryan K. [Rep.-R-MT-1]","Collins, Mike [Rep.-R-GA-10]","Bost, Mike [Rep.-R-IL-12]","Kelly, Trent [Rep.-R-MS-1]","Franklin, Scott [Rep.-R-FL-18]","Bean, Aaron [Rep.-R-FL-4]","Stutzman, Marlin A. [Rep.-R-IN-3]","Taylor, David [Rep.-R-OH-2]","Barrett, Tom [Rep.-R-MI-7]","Downing, Troy [Rep.-R-MT-2]","Gill, Brandon [Rep.-R-TX-26]","Yakym, Rudy [Rep.-R-IN-2]","Van Orden, Derrick [Rep.-R-WI-3]","Bice, Stephanie I. [Rep.-R-OK-5]","Onder, Robert [Rep.-R-MO-3]","Griffith, H. Morgan [Rep.-R-VA-9]","Murphy, Gregory F. [Rep.-R-NC-3]","Harshbarger, Diana [Rep.-R-TN-1]","Allen, Rick W. [Rep.-R-GA-12]","Begich, Nicholas [Rep.-R-AK-At Large]","Schmidt, Derek [Rep.-R-KS-2]","Cole, Tom [Rep.-R-OK-4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 424,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/424,119th Congress (2025-2026),"To reimburse the States for border security expenses, and for other purposes.","Crenshaw, Dan [Rep.-R-TX-2] (Introduced 01/15/2025)",Republican,1/15/2025,House - Judiciary,Referred to the House Committee on the Judiciary.,1/15/2025,"Roy, Chip [Rep.-R-TX-21]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 423,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/423,119th Congress (2025-2026),To amend title 11 of the United States Code to modify the dischargeability of debts for certain educational payments and loans.,"Cohen, Steve [Rep.-D-TN-9] (Introduced 01/15/2025)",Democratic,1/15/2025,House - Judiciary,Referred to the House Committee on the Judiciary.,1/15/2025,"Davis, Danny K. [Rep.-D-IL-7]","Swalwell, Eric [Rep.-D-CA-14]","Moore, Gwen [Rep.-D-WI-4]","Brownley, Julia [Rep.-D-CA-26]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 422,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/422,119th Congress (2025-2026),"To establish Federal research award reimbursement limits for indirect costs for institutions of higher education, and for other purposes.","Cline, Ben [Rep.-R-VA-6] (Introduced 01/15/2025)",Republican,1/15/2025,"House - Science, Space, and Technology, Education and Workforce","Referred to the Committee on Science, Space, and Technology, and in addition to the Committee on Education and Workforce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",1/15/2025,"Clyde, Andrew S. [Rep.-R-GA-9]","Harris, Andy [Rep.-R-MD-1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 421,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/421,119th Congress (2025-2026),"To amend chapter 6 of title 5, United States Code (commonly known as the ""Regulatory Flexibility Act""), to ensure complete analysis of potential impacts on small entities of rules, and for other purposes.","Cline, Ben [Rep.-R-VA-6] (Introduced 01/15/2025)",Republican,1/15/2025,"House - Judiciary, Small Business, Oversight and Government Reform","Referred to the Committee on the Judiciary, and in addition to the Committees on Small Business, and Oversight and Government Reform, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",1/15/2025,"Hageman, Harriet M. [Rep.-R-WY-At Large]","Ellzey, Jake [Rep.-R-TX-6]","Brecheen, Josh [Rep.-R-OK-2]","Fitzgerald, Scott [Rep.-R-WI-5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 420,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/420,119th Congress (2025-2026),"To impose limitations on the amount of indirect costs allowable under Federal research awards to institutions of higher education, and for other purposes.","Cline, Ben [Rep.-R-VA-6] (Introduced 01/15/2025)",Republican,1/15/2025,"House - Science, Space, and Technology","Referred to the House Committee on Science, Space, and Technology.",1/15/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 419,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/419,119th Congress (2025-2026),"To amend section 212 of the Immigration and Nationality Act to ensure that efforts to engage in espionage or technology transfer are considered in visa issuance, and for other purposes.","Cline, Ben [Rep.-R-VA-6] (Introduced 01/15/2025)",Republican,1/15/2025,House - Judiciary,Referred to the House Committee on the Judiciary.,1/15/2025,"Bergman, Jack [Rep.-R-MI-1]","Ogles, Andrew [Rep.-R-TN-5]","Higgins, Clay [Rep.-R-LA-3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 418,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/418,119th Congress (2025-2026),"To require the head of an agency to issue and sign any rule issued by that agency, and for other purposes.","Cline, Ben [Rep.-R-VA-6] (Introduced 01/15/2025)",Republican,1/15/2025,House - Judiciary,Referred to the House Committee on the Judiciary.,1/15/2025,"Golden, Jared F. [Rep.-D-ME-2]","Hageman, Harriet M. [Rep.-R-WY-At Large]","Ellzey, Jake [Rep.-R-TX-6]","Crenshaw, Dan [Rep.-R-TX-2]","Brecheen, Josh [Rep.-R-OK-2]","Green, Mark E. [Rep.-R-TN-7]","Fitzgerald, Scott [Rep.-R-WI-5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 417,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/417,119th Congress (2025-2026),"To prohibit the use of United States contributions to the United Nations to support the iVerify tool developed by the United Nations Development Programme, and for other purposes.","Cline, Ben [Rep.-R-VA-6] (Introduced 01/15/2025)",Republican,1/15/2025,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,1/15/2025,"Cloud, Michael [Rep.-R-TX-27]","Ogles, Andrew [Rep.-R-TN-5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 416,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/416,119th Congress (2025-2026),To amend the Food and Nutrition Act of 2008 to close the nominal benefits loophole.,"Cline, Ben [Rep.-R-VA-6] (Introduced 01/15/2025)",Republican,1/15/2025,House - Agriculture,Referred to the House Committee on Agriculture.,1/15/2025,"Higgins, Clay [Rep.-R-LA-3]","Ellzey, Jake [Rep.-R-TX-6]","Brecheen, Josh [Rep.-R-OK-2]","Green, Mark E. [Rep.-R-TN-7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,0,,,,,,,,,,,
